,Unnamed: 0,Equation Number,eqn,soln,metrics
93,93,119,"(-1x + 2) = 3x
","(-1x + 2) = 3x
|3x = (-1x + 2)|4x = (2 + 0)|4x = 2|x = [1/2]",8
94,94,120,"1 = (2 + 3x)
","1 = (2 + 3x)
|1 = (3x + 2)|(3x + 2) = 1|3x = (-1)|x = ([-1/3])",8
95,95,121,"(1x - 2) = ((-3) + 4x)
","(1x - 2) = ((-3) + 4x)
|((1x - 2) + 2) = (((-3) + 4x) + 2)|((1x + (-2)) + 2) = (((-3) + 4x) + 2)|1x = (((-3) + 4x) + 2)|1x = ((4x + (-3)) + 2)|1x = (4x + ((-3) + 2))|-3x = (((-3) + 2) + 0)|-3x = (-1)|x = [1/3]",17
96,96,122,"-1x = (((-2) + 3x) + 4)
","-1x = (((-2) + 3x) + 4)
|-1x = ((3x + (-2)) + 4)|-1x = (3x + ((-2) + 4))|-4x = (((-2) + 4) + 0)|-4x = 2|x = ([-1/2])",10
97,97,123,"(-1) = ((-2) + 3x)
","(-1) = ((-2) + 3x)
|(-1) = (3x + (-2))|(3x + (-2)) = (-1)|3x = 1|x = [1/3]",8
98,98,124,"(1x + 2) = (-3)
","(1x + 2) = (-3)
|x = (-5)",3
99,99,126,"(1x + 2) = (-3x + (-4))
","(1x + 2) = (-3x + (-4))
|((1x + 2) - 2) = ((-3x + (-4)) - 2)|1x = ((-3x + (-4)) - 2)|1x = (-3x + ((-4) - 2))|4x = (((-4) - 2) + 0)|4x = (-6)|x = ([-3/2])",15
100,100,128,"(-1x + 2) = (3 + 4x)
","(-1x + 2) = (3 + 4x)
|(-1x + 2) = (4x + 3)|((-1x + 2) - 2) = ((4x + 3) - 2)|-1x = ((4x + 3) - 2)|-1x = (4x + (3 - 2))|-5x = ((3 - 2) + 0)|-5x = 1|x = ([-1/5])",16
101,101,129,"1 = (2x - 3x)
","1 = (2x - 3x)
|1 = ((2 - 3) * x)|((2 - 3) * x) = 1|-1x = 1|x = (-1)",12
102,102,131,"(1 - 2x) = -3x
","(1 - 2x) = -3x
|-3x = (1 - 2x)|-3x = (1 + -2x)|-3x = (-2x + 1)|-1x = (1 + 0)|-1x = 1|x = (-1)",9
103,103,133,"x = ((1 + 2) / 3)
","x = ((1 + 2) / 3)
|x = 1",5
104,104,134,"(-1) = ((-2) + -3x)
","(-1) = ((-2) + -3x)
|((-2) + -3x) = (-1)|-3x = 1|x = ([-1/3])",7
105,105,135,"(1 + (2 / x)) = 3
","(1 + (2 / x)) = 3
|(2 / x) = 2|((2 / x) * 2) = (2 * 2)|(2 * (2 / x)) = (2 * 2)|(2 * 2) = (2 * (2 / x))|(2 * 2) = ((2 * 2) / x)|((2 * 2) * x) = (((2 * 2) / x) * x)|((2 * 2) * x) = (x * ((2 * 2) / x))|(x * ((2 * 2) / x)) = ((2 * 2) * x)|(x * (2 * (2 / x))) = ((2 * 2) * x)|((x * 2) * (2 / x)) = ((2 * 2) * x)|(2x * (2 / x)) = ((2 * 2) * x)|((2 * 2) * x) = (2x * (2 / x))|4x = (2x * (2 / x))|4x = ((x * 2) * (2 / x))|4x = (((x * 2) * 2) / x)|4x = ((x * (2 * 2)) / x)|4x = (((2 * 2) * x) / x)|4x = ((2 * 2) * (x / x))|4x = ((2 * 2) * 1)|4x = 4|x = 1",41
106,106,136,"((-1) + 2x) = (3 + 4x)
","((-1) + 2x) = (3 + 4x)
|(2x + (-1)) = (3 + 4x)|(2x + (-1)) = (4x + 3)|((2x + (-1)) - (-1)) = ((4x + 3) - (-1))|2x = ((4x + 3) - (-1))|2x = (4x + (3 - (-1)))|-2x = ((3 - (-1)) + 0)|-2x = 4|x = (-2)",16
107,107,137,"((1 + 2x) + 3) = 4x
","((1 + 2x) + 3) = 4x
|4x = ((1 + 2x) + 3)|4x = ((2x + 1) + 3)|4x = (2x + (1 + 3))|2x = ((1 + 3) + 0)|2x = 4|x = 2",13
108,108,138,"(1 + 2x) = (3 + 4x)
","(1 + 2x) = (3 + 4x)
|(2x + 1) = (3 + 4x)|(2x + 1) = (4x + 3)|((2x + 1) - 1) = ((4x + 3) - 1)|2x = ((4x + 3) - 1)|2x = (4x + (3 - 1))|-2x = ((3 - 1) + 0)|-2x = 2|x = (-1)",16
109,109,139,"1x = ((-2) - 3x)
","1x = ((-2) - 3x)
|1x = ((-2) + -3x)|1x = (-3x + (-2))|4x = ((-2) + 0)|4x = (-2)|x = ([-1/2])",8
110,110,140,"(1x + 2) = (3x + 4)
","(1x + 2) = (3x + 4)
|((1x + 2) - 2) = ((3x + 4) - 2)|1x = ((3x + 4) - 2)|1x = (3x + (4 - 2))|-2x = ((4 - 2) + 0)|-2x = 2|x = (-1)",14
111,111,141,"(((-1) - 2x) + 3) = -4x
","(((-1) - 2x) + 3) = -4x
|-4x = (((-1) - 2x) + 3)|-4x = (((-1) + -2x) + 3)|-4x = ((-2x + (-1)) + 3)|-4x = (-2x + ((-1) + 3))|-2x = (((-1) + 3) + 0)|-2x = 2|x = (-1)",14
112,112,142,"((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
","((-1x + 2) - 3x) = (((-4) + 5x) - 6x)
|((-1x + 2) - 3x) = ((5x + (-4)) - 6x)|((-1x + 2) + -3x) = ((5x + (-4)) - 6x)|(-3x + (-1x + 2)) = ((5x + (-4)) - 6x)|((-3x + -1x) + 2) = ((5x + (-4)) - 6x)|((5x + (-4)) - 6x) = ((-3x + -1x) + 2)|((5x + (-4)) + -6x) = ((-3x + -1x) + 2)|(5x + ((-4) + -6x)) = ((-3x + -1x) + 2)|(5x + (-6x + (-4))) = ((-3x + -1x) + 2)|((5x + (-6x + (-4))) - (-4)) = (((-3x + -1x) + 2) - (-4))|(5x + ((-6x + (-4)) - (-4))) = (((-3x + -1x) + 2) - (-4))|(5x + -6x) = (((-3x + -1x) + 2) - (-4))|((5 + (-6)) * x) = (((-3x + -1x) + 2) - (-4))|-1x = (((-3x + -1x) + 2) - (-4))|-1x = (((((-3) + (-1)) * x) + 2) - (-4))|-1x = ((-4x + 2) - (-4))|-1x = (-4x + (2 - (-4)))|3x = ((2 - (-4)) + 0)|3x = 6|x = 2",36
113,113,143,"(1x + 2) = ((-3) + -4x)
","(1x + 2) = ((-3) + -4x)
|(1x + 2) = (-4x + (-3))|((1x + 2) - 2) = ((-4x + (-3)) - 2)|1x = ((-4x + (-3)) - 2)|1x = (-4x + ((-3) - 2))|5x = (((-3) - 2) + 0)|5x = (-5)|x = (-1)",15
114,114,144,"((-1) + 2x) = ((-3) + -4x)
","((-1) + 2x) = ((-3) + -4x)
|(2x + (-1)) = ((-3) + -4x)|((2x + (-1)) - (-1)) = (((-3) + -4x) - (-1))|2x = (((-3) + -4x) - (-1))|2x = ((-4x + (-3)) - (-1))|2x = (-4x + ((-3) - (-1)))|6x = (((-3) - (-1)) + 0)|6x = (-2)|x = ([-1/3])",17
115,115,147,"((-1) - 2x) = -3x
","((-1) - 2x) = -3x
|-3x = ((-1) - 2x)|-3x = ((-1) + -2x)|-3x = (-2x + (-1))|-1x = ((-1) + 0)|-1x = (-1)|x = 1",9
116,116,148,"(1x + 2) = (-3x + 4)
","(1x + 2) = (-3x + 4)
|((1x + 2) - 2) = ((-3x + 4) - 2)|1x = ((-3x + 4) - 2)|1x = (-3x + (4 - 2))|4x = ((4 - 2) + 0)|4x = 2|x = [1/2]",15
117,117,150,"((1 + 2x) - 3) = 4x
","((1 + 2x) - 3) = 4x
|4x = ((1 + 2x) - 3)|4x = ((2x + 1) - 3)|4x = (2x + (1 - 3))|2x = ((1 - 3) + 0)|2x = (-2)|x = (-1)",13
118,118,151,"((-1) + -2x) = (3x + (-4))
","((-1) + -2x) = (3x + (-4))
|(-2x + (-1)) = (3x + (-4))|((-2x + (-1)) - (-1)) = ((3x + (-4)) - (-1))|-2x = ((3x + (-4)) - (-1))|-2x = (3x + ((-4) - (-1)))|-5x = (((-4) - (-1)) + 0)|-5x = (-3)|x = [3/5]",16
119,119,152,"(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
","(((-1) + 2x) + 3x) = ((4 + -5x) + 6x)
|(3x + ((-1) + 2x)) = ((4 + -5x) + 6x)|(3x + ((-1) + 2x)) = (6x + (4 + -5x))|(3x + (2x + (-1))) = (6x + (4 + -5x))|((3x + (2x + (-1))) - (-1)) = ((6x + (4 + -5x)) - (-1))|(3x + ((2x + (-1)) - (-1))) = ((6x + (4 + -5x)) - (-1))|(3x + 2x) = ((6x + (4 + -5x)) - (-1))|((3 + 2) * x) = ((6x + (4 + -5x)) - (-1))|5x = ((6x + (4 + -5x)) - (-1))|5x = (6x + ((4 + -5x) - (-1)))|-1x = (((4 + -5x) - (-1)) + 0)|-1x = (((-5x + 4) - (-1)) + 0)|-1x = ((-5x + (4 - (-1))) + 0)|-1x = (-5x + (4 - (-1)))|4x = ((4 - (-1)) + 0)|4x = 5|x = [5/4]",34
120,120,153,"-1x = ((-2) + 3)
","-1x = ((-2) + 3)
|-1x = 1|x = (-1)",4
121,121,155,"(-1) = (-2x + 3)
","(-1) = (-2x + 3)
|(-2x + 3) = (-1)|-2x = (-4)|x = 2",6
122,122,156,"(1 + 2x) = ((-3) + 4x)
","(1 + 2x) = ((-3) + 4x)
|(2x + 1) = ((-3) + 4x)|(2x + 1) = (4x + (-3))|((2x + 1) - 1) = ((4x + (-3)) - 1)|2x = ((4x + (-3)) - 1)|2x = (4x + ((-3) - 1))|-2x = (((-3) - 1) + 0)|-2x = (-4)|x = 2",16
123,123,157,"(1 + 2x) = (3 + -4x)
","(1 + 2x) = (3 + -4x)
|(2x + 1) = (3 + -4x)|(2x + 1) = (-4x + 3)|((2x + 1) - 1) = ((-4x + 3) - 1)|2x = ((-4x + 3) - 1)|2x = (-4x + (3 - 1))|6x = ((3 - 1) + 0)|6x = 2|x = [1/3]",17
124,124,159,"-1x = (2x - 3)
","-1x = (2x - 3)
|-1x = (2x + (-3))|-3x = ((-3) + 0)|-3x = (-3)|x = 1",6
125,125,160,"((1 + -2x) + 3x) = ((-4x + 5) + 6x)
","((1 + -2x) + 3x) = ((-4x + 5) + 6x)
|(3x + (1 + -2x)) = ((-4x + 5) + 6x)|(3x + (-2x + 1)) = ((-4x + 5) + 6x)|(3x + (-2x + 1)) = (6x + (-4x + 5))|(3x + (-2x + 1)) = ((6x + -4x) + 5)|(3x + (-2x + 1)) = (((6 + (-4)) * x) + 5)|((3x + (-2x + 1)) - 1) = ((((6 + (-4)) * x) + 5) - 1)|(3x + ((-2x + 1) - 1)) = ((((6 + (-4)) * x) + 5) - 1)|(3x + -2x) = ((((6 + (-4)) * x) + 5) - 1)|((3 + (-2)) * x) = ((((6 + (-4)) * x) + 5) - 1)|1x = ((((6 + (-4)) * x) + 5) - 1)|1x = ((2x + 5) - 1)|1x = (2x + (5 - 1))|-1x = ((5 - 1) + 0)|-1x = 4|x = (-4)",32
126,126,161,"((-1) + -2x) = (3x + 4)
","((-1) + -2x) = (3x + 4)
|(-2x + (-1)) = (3x + 4)|((-2x + (-1)) - (-1)) = ((3x + 4) - (-1))|-2x = ((3x + 4) - (-1))|-2x = (3x + (4 - (-1)))|-5x = ((4 - (-1)) + 0)|-5x = 5|x = (-1)",15
127,127,162,"(1x + (-2)) = (3x + (-4))
","(1x + (-2)) = (3x + (-4))
|((1x + (-2)) - (-2)) = ((3x + (-4)) - (-2))|1x = ((3x + (-4)) - (-2))|1x = (3x + ((-4) - (-2)))|-2x = (((-4) - (-2)) + 0)|-2x = (-2)|x = 1",14
128,128,165,"(-1x - 2) = (3 - 4x)
","(-1x - 2) = (3 - 4x)
|(-1x - 2) = (3 + -4x)|((-1x - 2) + 2) = ((3 + -4x) + 2)|((-1x + (-2)) + 2) = ((3 + -4x) + 2)|-1x = ((3 + -4x) + 2)|-1x = ((-4x + 3) + 2)|-1x = (-4x + (3 + 2))|3x = ((3 + 2) + 0)|3x = 5|x = [5/3]",18
129,129,166,"-1x = ((2 + -3x) - 4)
","-1x = ((2 + -3x) - 4)
|-1x = ((-3x + 2) - 4)|-1x = (-3x + (2 - 4))|2x = ((2 - 4) + 0)|2x = (-2)|x = (-1)",9
130,130,167,"1 = (-2x + (-3))
","1 = (-2x + (-3))
|(-2x + (-3)) = 1|-2x = 4|x = (-2)",6
131,131,168,"(1 - 2) = (-3x - 4x)
","(1 - 2) = (-3x - 4x)
|(1 - 2) = (((-3) - 4) * x)|(((-3) - 4) * x) = (1 - 2)|-7x = (1 - 2)|-7x = (-1)|x = [1/7]",13
132,132,169,"((-1) - 2) = -3x
","((-1) - 2) = -3x
|-3x = ((-1) - 2)|-3x = (-3)|x = 1",6
133,133,170,"1 = (-2x + 3)
","1 = (-2x + 3)
|(-2x + 3) = 1|-2x = (-2)|x = 1",6
134,134,172,"(-1) = (2x + 3)
","(-1) = (2x + 3)
|(2x + 3) = (-1)|2x = (-4)|x = (-2)",6
135,135,173,"1 = 2x
","1 = 2x
|2x = 1|x = [1/2]",4
136,136,174,"(1 - 2) = -3x
","(1 - 2) = -3x
|-3x = (1 - 2)|-3x = (-1)|x = [1/3]",7
137,137,175,"(1 + 2x) = -3x
","(1 + 2x) = -3x
|-3x = (1 + 2x)|-3x = (2x + 1)|-5x = (1 + 0)|-5x = 1|x = ([-1/5])",9
138,138,176,"(1x - 2) = 3x
","(1x - 2) = 3x
|3x = (1x - 2)|3x = (1x + (-2))|2x = ((-2) + 0)|2x = (-2)|x = (-1)",8
139,139,177,"(1x / x) = 2x
","(1x / x) = 2x
|((1x / x) * 1) = (2x * 1)|((1x / x) * 1) = (1 * 2x)|(1x / x) = (1 * 2x)|(x / x) = (1 * 2x)|1 = (1 * 2x)|(1 * 2x) = 1|2x = 1|x = [1/2]",15
140,140,178,"(-1x + (-2)) = (3x + 4)
","(-1x + (-2)) = (3x + 4)
|((-1x + (-2)) - (-2)) = ((3x + 4) - (-2))|-1x = ((3x + 4) - (-2))|-1x = (3x + (4 - (-2)))|-4x = ((4 - (-2)) + 0)|-4x = 6|x = ([-3/2])",15
141,141,179,"((1x - 2) + 3) = 4x
","((1x - 2) + 3) = 4x
|4x = ((1x - 2) + 3)|4x = ((1x + (-2)) + 3)|4x = (1x + ((-2) + 3))|3x = (((-2) + 3) + 0)|3x = 1|x = [1/3]",14
142,142,180,"(-1) = ((2x + 3) + 4x)
","(-1) = ((2x + 3) + 4x)
|(-1) = (2x + (3 + 4x))|(-1) = (2x + (4x + 3))|(-1) = ((2x + 4x) + 3)|(-1) = (((2 + 4) * x) + 3)|(-1) = (6x + 3)|(6x + 3) = (-1)|6x = (-4)|x = ([-2/3])",18
143,143,181,"(1x + 2) = (3x + (-4))
","(1x + 2) = (3x + (-4))
|((1x + 2) - 2) = ((3x + (-4)) - 2)|1x = ((3x + (-4)) - 2)|1x = (3x + ((-4) - 2))|-2x = (((-4) - 2) + 0)|-2x = (-6)|x = 3",14
144,144,182,"(1 + -2x) = (3x + 4)
","(1 + -2x) = (3x + 4)
|(-2x + 1) = (3x + 4)|((-2x + 1) - 1) = ((3x + 4) - 1)|-2x = ((3x + 4) - 1)|-2x = (3x + (4 - 1))|-5x = ((4 - 1) + 0)|-5x = 3|x = ([-3/5])",16
145,145,183,"(((-1) + 2x) + 3) = ((4 + 5x) + 6)
","(((-1) + 2x) + 3) = ((4 + 5x) + 6)
|((2x + (-1)) + 3) = ((4 + 5x) + 6)|(2x + ((-1) + 3)) = ((4 + 5x) + 6)|(2x + 2) = ((4 + 5x) + 6)|(2x + 2) = ((5x + 4) + 6)|((2x + 2) - 2) = (((5x + 4) + 6) - 2)|2x = (((5x + 4) + 6) - 2)|2x = ((5x + (4 + 6)) - 2)|2x = (5x + ((4 + 6) - 2))|2x = (5x + 8)|-3x = (8 + 0)|-3x = 8|x = ([-8/3])",23
146,146,185,"1x = (-2)
","1x = (-2)
|x = (-2)",2
147,147,186,"((-1x + (-2)) - 3) = 4x
","((-1x + (-2)) - 3) = 4x
|4x = ((-1x + (-2)) - 3)|4x = (-1x + ((-2) - 3))|5x = (((-2) - 3) + 0)|5x = (-5)|x = (-1)",12
148,148,187,"1x = (2 - 3)
","1x = (2 - 3)
|1x = (-1)|x = (-1)",4
149,149,188,"((-1) + -2x) = ((-3) + 4x)
","((-1) + -2x) = ((-3) + 4x)
|(-2x + (-1)) = ((-3) + 4x)|((-2x + (-1)) - (-1)) = (((-3) + 4x) - (-1))|((-2x + (-1)) - (-1)) = ((4x + (-3)) - (-1))|-2x = ((4x + (-3)) - (-1))|-2x = (4x + ((-3) - (-1)))|-6x = (((-3) - (-1)) + 0)|-6x = (-2)|x = [1/3]",17
150,150,189,"(-1) = (-2x + (-3))
","(-1) = (-2x + (-3))
|(-2x + (-3)) = (-1)|-2x = 2|x = (-1)",6
151,151,190,"(-1x + (-2)) = 3
","(-1x + (-2)) = 3
|-1x = 5|x = (-5)",4
152,152,191,"(1x + 2) = (3 + 4x)
","(1x + 2) = (3 + 4x)
|(1x + 2) = (4x + 3)|((1x + 2) - 2) = ((4x + 3) - 2)|1x = ((4x + 3) - 2)|1x = (4x + (3 - 2))|-3x = ((3 - 2) + 0)|-3x = 1|x = ([-1/3])",16
153,153,192,"((1x + 2) + 3x) = 4
","((1x + 2) + 3x) = 4
|((3x + (1x + 2)) - 2) = 2|(((3x + 1x) + 2) - 2) = 2|(3x + 1x) = 2|((3 + 1) * x) = 2|4x = 2|x = [1/2]",16
154,154,193,"(-1x + 2) = (-3x - 4)
","(-1x + 2) = (-3x - 4)
|((-1x + 2) - 2) = ((-3x - 4) - 2)|((-1x + 2) - 2) = ((-3x + (-4)) - 2)|-1x = ((-3x + (-4)) - 2)|-1x = (-3x + ((-4) - 2))|2x = (((-4) - 2) + 0)|2x = (-6)|x = (-3)",15
155,155,194,"1 = ((-2x + 3) + 4x)
","1 = ((-2x + 3) + 4x)
|1 = (4x + (-2x + 3))|1 = ((4x + -2x) + 3)|1 = (((4 + (-2)) * x) + 3)|1 = (2x + 3)|(2x + 3) = 1|2x = (-2)|x = (-1)",16
156,156,195,"(1 + -2x) = (-3x + 4)
","(1 + -2x) = (-3x + 4)
|(-2x + 1) = (-3x + 4)|((-2x + 1) - 1) = ((-3x + 4) - 1)|-2x = ((-3x + 4) - 1)|-2x = (-3x + (4 - 1))|1x = ((4 - 1) + 0)|1x = 3|x = 3",15
157,157,196,"-1x = (2 - 3)
","-1x = (2 - 3)
|-1x = (-1)|x = 1",4
158,158,200,"(1 + 2x) = (-3x + (-4))
","(1 + 2x) = (-3x + (-4))
|(2x + 1) = (-3x + (-4))|((2x + 1) - 1) = ((-3x + (-4)) - 1)|2x = ((-3x + (-4)) - 1)|2x = (-3x + ((-4) - 1))|5x = (((-4) - 1) + 0)|5x = (-5)|x = (-1)",15
159,159,201,"(-1) = (2x - 3)
","(-1) = (2x - 3)
|(-1) = (2x + (-3))|(2x + (-3)) = (-1)|2x = 2|x = 1",7
160,160,202,"-1x = ((-2x + 3) + 4)
","-1x = ((-2x + 3) + 4)
|-1x = (-2x + (3 + 4))|1x = ((3 + 4) + 0)|1x = 7|x = 7",8
161,161,203,"((1 - 2x) - 3) = ((4 + 5x) - 6)
","((1 - 2x) - 3) = ((4 + 5x) - 6)
|((1 + -2x) - 3) = ((4 + 5x) - 6)|((-2x + 1) - 3) = ((4 + 5x) - 6)|((-2x + 1) - 3) = ((5x + 4) - 6)|(((-2x + 1) - 3) - 4) = (((5x + 4) - 6) - 4)|(((-2x + 1) - 3) - 4) = (((5x + 4) - 4) - 6)|(((-2x + 1) - 3) - 4) = ((5x + (4 - 4)) - 6)|(((-2x + 1) - 3) - 4) = ((5x + 0) - 6)|(((-2x + 1) - 3) - 4) = (5x + (0 - 6))|(5x + (0 - 6)) = (((-2x + 1) - 3) - 4)|(5x + (-6)) = (((-2x + 1) - 3) - 4)|((5x + (-6)) - (-6)) = ((((-2x + 1) - 3) - 4) - (-6))|5x = ((((-2x + 1) - 3) - 4) - (-6))|5x = (((-2x + (1 - 3)) - 4) - (-6))|5x = ((-2x + ((1 - 3) - 4)) - (-6))|5x = (-2x + (((1 - 3) - 4) - (-6)))|5x = (-2x + ((-6) - (-6)))|7x = (((-6) - (-6)) + 0)|7x = 0|x = 0",36
162,162,204,"(1x + (-2)) = (3 + 4x)
","(1x + (-2)) = (3 + 4x)
|(1x + (-2)) = (4x + 3)|((1x + (-2)) - (-2)) = ((4x + 3) - (-2))|1x = ((4x + 3) - (-2))|1x = (4x + (3 - (-2)))|-3x = ((3 - (-2)) + 0)|-3x = 5|x = ([-5/3])",16
163,163,205,"(((-1) + 2x) + 3) = (4 + 5)
","(((-1) + 2x) + 3) = (4 + 5)
|((2x + (-1)) + 3) = (4 + 5)|(2x + ((-1) + 3)) = (4 + 5)|(2x + ((-1) + 3)) = 9|(2x + 2) = 9|2x = 7|x = [7/2]",11
164,164,206,"((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
","((-1x + 2) + 3x) = (((-4) - 5x) + 6x)
|((-1x + 2) + 3x) = (((-4) + -5x) + 6x)|((-1x + 2) + 3x) = (6x + ((-4) + -5x))|(3x + (-1x + 2)) = (6x + ((-4) + -5x))|(3x + (2 + -1x)) = (6x + ((-4) + -5x))|(3x + (2 + -1x)) = (6x + (-5x + (-4)))|(3x + (2 + -1x)) = ((6x + -5x) + (-4))|(3x + (2 + -1x)) = (((6 + (-5)) * x) + (-4))|(3x + (2 + -1x)) = ((((-5) + 6) * x) + (-4))|(3x + (-1x + 2)) = ((((-5) + 6) * x) + (-4))|((3x + (-1x + 2)) - 2) = (((((-5) + 6) * x) + (-4)) - 2)|(3x + ((-1x + 2) - 2)) = (((((-5) + 6) * x) + (-4)) - 2)|(3x + -1x) = (((((-5) + 6) * x) + (-4)) - 2)|((3 + (-1)) * x) = (((((-5) + 6) * x) + (-4)) - 2)|2x = (((((-5) + 6) * x) + (-4)) - 2)|2x = ((1x + (-4)) - 2)|2x = (1x + ((-4) - 2))|1x = (((-4) - 2) + 0)|1x = (-6)|x = (-6)",36
165,165,207,"(-1) = (-2x - 3)
","(-1) = (-2x - 3)
|(-1) = (-2x + (-3))|(-2x + (-3)) = (-1)|-2x = 2|x = (-1)",7
166,166,208,"((1x + 2) - 3x) = (4x - 5x)
","((1x + 2) - 3x) = (4x - 5x)
|(4x - 5x) = ((1x + 2) - 3x)|((4 - 5) * x) = ((1x + 2) - 3x)|-1x = ((1x + 2) - 3x)|-1x = ((1x + 2) + -3x)|-1x = (-3x + (1x + 2))|2x = ((1x + 2) + 0)|2x = (1x + 2)|1x = (2 + 0)|1x = 2|x = 2",20
167,167,209,"(-1) = (2 + -3x)
","(-1) = (2 + -3x)
|(-1) = (-3x + 2)|(-3x + 2) = (-1)|-3x = (-3)|x = 1",7
168,168,210,"1x = (2 + 3x)
","1x = (2 + 3x)
|1x = (3x + 2)|-2x = (2 + 0)|-2x = 2|x = (-1)",6
169,169,211,"((-1) + 2x) = (3x + 4)
","((-1) + 2x) = (3x + 4)
|(2x + (-1)) = (3x + 4)|((2x + (-1)) - (-1)) = ((3x + 4) - (-1))|2x = ((3x + 4) - (-1))|2x = (3x + (4 - (-1)))|-1x = ((4 - (-1)) + 0)|-1x = 5|x = (-5)",15
170,170,212,"(-1x + (-2)) = (3 + 4x)
","(-1x + (-2)) = (3 + 4x)
|(-1x + (-2)) = (4x + 3)|(4x + 3) = (-1x + (-2))|((4x + 3) - 3) = ((-1x + (-2)) - 3)|4x = ((-1x + (-2)) - 3)|4x = (-1x + ((-2) - 3))|5x = (((-2) - 3) + 0)|5x = (-5)|x = (-1)",16
171,171,213,"(-1) = ((2x - 3) + 4x)
","(-1) = ((2x - 3) + 4x)
|((-1) + 3) = (((2x - 3) + 4x) + 3)|(((-1) + 3) - 3) = ((((2x - 3) + 4x) + 3) - 3)|(((-1) + 3) - 3) = ((((2x + (-3)) + 4x) + 3) - 3)|(((-1) + 3) - 3) = (((4x + (2x + (-3))) + 3) - 3)|(((-1) + 3) - 3) = ((((4x + 2x) + (-3)) + 3) - 3)|(((-1) + 3) - 3) = (((((4 + 2) * x) + (-3)) + 3) - 3)|(((-1) + 3) - 3) = (((6x + (-3)) + 3) - 3)|(((-1) + 3) - 3) = ((6x + ((-3) + 3)) - 3)|(((-1) + 3) - 3) = ((6x + 0) - 3)|((6x + 0) - 3) = (((-1) + 3) - 3)|((6x + 0) - 3) = (-1)|(6x + 0) = 2|6x = 2|x = [1/3]",30
172,172,215,"(1 + 2x) = (3x + (-4))
","(1 + 2x) = (3x + (-4))
|(2x + 1) = (3x + (-4))|((2x + 1) - 1) = ((3x + (-4)) - 1)|2x = ((3x + (-4)) - 1)|2x = (3x + ((-4) - 1))|-1x = (((-4) - 1) + 0)|-1x = (-5)|x = 5",15
173,173,216,"((-1x - 2) + 3x) = 4
","((-1x - 2) + 3x) = 4
|((3x + (-1x - 2)) - 2) = 2|((3x + (-1x + (-2))) - 2) = 2|(3x + ((-1x + (-2)) - 2)) = 2|(3x + (-1x + ((-2) - 2))) = 2|((3x + -1x) + ((-2) - 2)) = 2|(((3 + (-1)) * x) + ((-2) - 2)) = 2|(2x + ((-2) - 2)) = 2|(2x + (-4)) = 2|2x = 6|x = 3",20
174,174,217,"(1 + -2x) = (3x + (-4))
","(1 + -2x) = (3x + (-4))
|(-2x + 1) = (3x + (-4))|((-2x + 1) - 1) = ((3x + (-4)) - 1)|-2x = ((3x + (-4)) - 1)|-2x = (3x + ((-4) - 1))|-5x = (((-4) - 1) + 0)|-5x = (-5)|x = 1",15
175,175,218,"1 = ((-2) + 3x)
","1 = ((-2) + 3x)
|1 = (3x + (-2))|(3x + (-2)) = 1|3x = 3|x = 1",7
176,176,219,"(1 + 2x) = (-3)
","(1 + 2x) = (-3)
|2x = (-4)|x = (-2)",4
177,177,222,"((-1) - 2x) = (-3x - 4)
","((-1) - 2x) = (-3x - 4)
|((-1) + -2x) = (-3x - 4)|(-2x + (-1)) = (-3x - 4)|((-2x + (-1)) - (-1)) = ((-3x - 4) - (-1))|-2x = ((-3x - 4) - (-1))|-2x = ((-3x + (-4)) - (-1))|-2x = (-3x + ((-4) - (-1)))|1x = (((-4) - (-1)) + 0)|1x = (-3)|x = (-3)",17
178,178,224,"(1x + 2) = 3
","(1x + 2) = 3
|x = 1",3
179,179,226,"1 = (2 + -3x)
","1 = (2 + -3x)
|1 = (-3x + 2)|(-3x + 2) = 1|-3x = (-1)|x = [1/3]",8
180,180,227,"((-1) - 2x) = ((-3) - 4x)
","((-1) - 2x) = ((-3) - 4x)
|((-1) - 2x) = ((-3) + -4x)|((-1) + -2x) = ((-3) + -4x)|(-2x + (-1)) = ((-3) + -4x)|((-2x + (-1)) - (-1)) = (((-3) + -4x) - (-1))|-2x = (((-3) + -4x) - (-1))|-2x = ((-4x + (-3)) - (-1))|-2x = (-4x + ((-3) - (-1)))|2x = (((-3) - (-1)) + 0)|2x = (-2)|x = (-1)",18
181,181,228,"(-1x + (-2)) = (3x + (-4))
","(-1x + (-2)) = (3x + (-4))
|((-1x + (-2)) - (-2)) = ((3x + (-4)) - (-2))|-1x = ((3x + (-4)) - (-2))|-1x = (3x + ((-4) - (-2)))|-4x = (((-4) - (-2)) + 0)|-4x = (-2)|x = [1/2]",15
182,182,229,"(-1) = (-2x + 3x)
","(-1) = (-2x + 3x)
|(-1) = (((-2) + 3) * x)|(((-2) + 3) * x) = (-1)|1x = (-1)|x = (-1)",12
